date,asset,realized,historical_mean,ols,ols_restricted,ols4,ols4_restricted,ridge,ridge_restricted,elastic_net,elastic_net_restricted,random_forest
1967-12-01,Manuf_excess,0.0487,0.00997,0.01276311,0.01276311,0.00613335,0.00613335,0.00520845,0.00520845,0.00997,0.00997,0.0027027
1967-12-01,NoDur_excess,0.028,0.00773208,0.01668848,0.01668848,0.01423195,0.01423195,0.00792,0.00792,0.00773208,0.00773208,0.00381533
1967-12-01,Other_excess,0.0507,0.00957458,0.01261401,0.01261401,0.01224461,0.01224461,0.00621529,0.00621529,0.00957458,0.00957458,0.00449007
1967-12-01,Shops_excess,0.0312,0.00873708,0.01022593,0.01022593,0.01049323,0.01049323,0.00709917,0.00709917,0.00873708,0.00873708,0.00204556
1967-12-01,Telcm_excess,-0.0021,0.00625875,-0.00482504,0.0,0.00023471,0.00023471,0.00625281,0.00625281,0.0063981,0.0063981,-0.00114366
1967-12-01,Utils_excess,0.0296,0.00844375,-2.699e-05,0.0,0.00778078,0.00778078,-0.00026248,0.0,0.00844375,0.00844375,-0.00075801
1968-01-01,Durbl_excess,-0.0555,0.01224292,0.00931366,0.00931366,-0.00439087,0.0,0.00699273,0.00699273,0.01054154,0.01054154,0.00957285
1968-01-01,Enrgy_excess,-0.013,0.01075667,0.01192651,0.01192651,0.00664811,0.00664811,0.00593331,0.00593331,0.01075667,0.01075667,0.00553629
1968-01-01,HiTec_excess,-0.0913,0.01451833,0.02993701,0.02993701,0.02598993,0.02598993,0.02017451,0.02017451,0.01451833,0.01451833,0.02034838
1968-01-01,Hlth_excess,-0.0697,0.01238083,0.0277921,0.0277921,0.0152613,0.0152613,0.01237943,0.01237943,0.01238083,0.01238083,0.01041621
1968-01-01,Manuf_excess,-0.0676,0.01006625,0.01074589,0.01074589,0.00470986,0.00470986,0.00598245,0.00598245,0.01006625,0.01006625,0.0074884
1968-01-01,NoDur_excess,-0.0083,0.00782292,0.02348966,0.02348966,0.016427,0.016427,0.01280112,0.01280112,0.00782292,0.00782292,0.01101124
1968-01-01,Other_excess,-0.023,0.00963458,0.01289806,0.01289806,0.01206073,0.01206073,0.00901685,0.00901685,0.00963458,0.00963458,0.00805988
1968-01-01,Shops_excess,0.0073,0.008855,0.02391034,0.02391034,0.01094231,0.01094231,0.01344455,0.01344455,0.008855,0.008855,0.01347342
1968-01-01,Telcm_excess,0.0227,0.006235,0.00115956,0.00115956,0.00341104,0.00341104,0.00623291,0.00623291,0.00693552,0.00693552,0.00246361
1968-01-01,Utils_excess,-0.0022,0.00852125,0.01490444,0.01490444,0.00985231,0.00985231,0.00802737,0.00802737,0.00852125,0.00852125,0.00369973
1968-02-01,Durbl_excess,-0.0273,0.0122375,0.00434824,0.00434824,-0.01153473,0.0,0.00404159,0.00404159,0.00853387,0.00853387,0.0083853
1968-02-01,Enrgy_excess,-0.0307,0.011015,0.00509772,0.00509772,0.00274663,0.00274663,0.00502131,0.00502131,0.011015,0.011015,0.00285518
1968-02-01,HiTec_excess,-0.0497,0.01437125,0.02633454,0.02633454,0.01759623,0.01759623,0.01923585,0.01923585,0.01437125,0.01437125,0.02272654
1968-02-01,Hlth_excess,-0.0464,0.01243708,0.00472716,0.00472716,0.00720106,0.00720106,0.012432,0.012432,0.01243708,0.01243708,0.01070946
1968-02-01,Manuf_excess,-0.0466,0.0099575,0.00446781,0.00446781,-0.0012434,0.0,0.00392403,0.00392403,0.0099575,0.0099575,0.00699895
1968-02-01,NoDur_excess,-0.031,0.00790333,0.01770053,0.01770053,0.01078371,0.01078371,0.01100596,0.01100596,0.00790333,0.00790333,0.00982644
1968-02-01,Other_excess,-0.0383,0.00957833,0.01272769,0.01272769,0.00663067,0.00663067,0.00825877,0.00825877,0.00957833,0.00957833,0.01218972
1968-02-01,Shops_excess,-0.0124,0.00902542,0.02602857,0.02602857,0.00607299,0.00607299,0.01338433,0.01338433,0.00902542,0.00902542,0.01055549
1968-02-01,Telcm_excess,-0.0281,0.00632833,0.00269565,0.00269565,0.00203418,0.00203418,0.00632607,0.00632607,0.00660364,0.00660364,0.0038544
1968-02-01,Utils_excess,-0.0188,0.00852417,0.01501717,0.01501717,0.00652496,0.00652496,0.00782763,0.00782763,0.00852417,0.00852417,0.00768041
1968-03-01,Durbl_excess,0.0027,0.01235292,-0.01223096,0.0,-0.01169005,0.0,-0.00210575,0.0,0.00784524,0.00784524,-0.00064092
1968-03-01,Enrgy_excess,0.0036,0.01101292,-0.00023914,0.0,0.00292176,0.00292176,0.00344198,0.00344198,0.01101292,0.01101292,0.00165052
1968-03-01,HiTec_excess,0.0386,0.01433125,0.01394625,0.01394625,0.01571358,0.01571358,0.01304756,0.01304756,0.01433125,0.01433125,0.01834706
1968-03-01,Hlth_excess,-0.0027,0.01239417,0.00581055,0.00581055,0.00533357,0.00533357,0.01238691,0.01238691,0.01239417,0.01239417,0.00661575
1968-03-01,Manuf_excess,0.0046,0.00998833,-0.0026354,0.0,-0.00257215,0.0,0.00076681,0.00076681,0.00998833,0.00998833,0.00301671
1968-03-01,NoDur_excess,0.0026,0.0080325,0.00934273,0.00934273,0.01028917,0.01028917,0.00688045,0.00688045,0.0080325,0.0080325,0.00537054
1968-03-01,Other_excess,-0.0065,0.00959333,0.00400234,0.00400234,0.00630937,0.00630937,0.00415308,0.00415308,0.00959333,0.00959333,0.00761213
1968-03-01,Shops_excess,0.0248,0.00913458,0.00719311,0.00719311,0.00678406,0.00678406,0.00608157,0.00608157,0.00913458,0.00913458,0.00391128
1968-03-01,Telcm_excess,-0.015,0.00625833,-0.00463668,0.0,0.0013794,0.0013794,0.0062527,0.0062527,0.0067183,0.0067183,0.00219941
