date,asset,realized,historical_mean
2013-08-01,Utils_excess,-0.0443,0.005999422521655438
2013-08-01,Other_excess,-0.0368,0.006081905678537056
2013-09-01,NoDur_excess,0.02,0.00681451923076923
2013-09-01,Durbl_excess,0.0645,0.007942692307692309
2013-09-01,Manuf_excess,0.0517,0.007282788461538461
2013-09-01,Enrgy_excess,0.0197,0.0077917307692307695
2013-09-01,HiTec_excess,0.0382,0.007946826923076923
2013-09-01,Telcm_excess,0.0428,0.00564125
2013-09-01,Shops_excess,0.0449,0.007226730769230769
2013-09-01,Hlth_excess,0.0417,0.007820192307692308
2013-09-01,Utils_excess,0.0105,0.005951057692307692
2013-09-01,Other_excess,0.0383,0.006040673076923076
2013-10-01,NoDur_excess,0.0482,0.006827185398655139
2013-10-01,Durbl_excess,0.0076,0.007997022094140249
2013-10-01,Manuf_excess,0.046,0.007325456292026897
2013-10-01,Enrgy_excess,0.0479,0.007803170028818445
2013-10-01,HiTec_excess,0.0376,0.007975888568683956
2013-10-01,Telcm_excess,0.0585,0.005676945244956772
2013-10-01,Shops_excess,0.0512,0.007262920268972142
2013-10-01,Hlth_excess,0.0355,0.007852737752161384
2013-10-01,Utils_excess,0.0334,0.005955427473583093
2013-10-01,Other_excess,0.0383,0.0060716618635927
2013-11-01,NoDur_excess,0.0127,0.006866890595009596
2013-11-01,Durbl_excess,0.0188,0.007996641074856045
2013-11-01,Manuf_excess,0.0297,0.00736257197696737
2013-11-01,Enrgy_excess,0.0087,0.007841650671785029
2013-11-01,HiTec_excess,0.0359,0.008004318618042225
2013-11-01,Telcm_excess,0.0008,0.005727639155470249
2013-11-01,Shops_excess,0.0369,0.007305086372360845
2013-11-01,Hlth_excess,0.045,0.007879270633397313
2013-11-01,Utils_excess,-0.0181,0.005981765834932822
2013-11-01,Other_excess,0.047,0.006102591170825336
2013-12-01,NoDur_excess,0.0247,0.006872483221476509
2013-12-01,Durbl_excess,0.0124,0.008006999041227229
2013-12-01,Manuf_excess,0.031,0.007383988494726749
2013-12-01,Enrgy_excess,0.0303,0.007842473633748803
2013-12-01,HiTec_excess,0.0398,0.008031064237775647
2013-12-01,Telcm_excess,0.0398,0.0057229146692233945
2013-12-01,Shops_excess,0.0025,0.00733346116970278
2013-12-01,Hlth_excess,0.0059,0.007914860977948227
2013-12-01,Utils_excess,0.0179,0.005958676893576222
2013-12-01,Other_excess,0.0315,0.006141802492809204
2014-01-01,NoDur_excess,-0.0572,0.006889559386973179
2014-01-01,Durbl_excess,-0.0362,0.008011206896551725
2014-01-01,Manuf_excess,-0.0428,0.007406609195402299
2014-01-01,Enrgy_excess,-0.0689,0.007863984674329503
2014-01-01,HiTec_excess,-0.014,0.008061494252873563
2014-01-01,Telcm_excess,-0.0381,0.005755555555555555
2014-01-01,Shops_excess,-0.0648,0.007328831417624521
2014-01-01,Hlth_excess,0.0179,0.007912931034482758
2014-01-01,Utils_excess,0.0249,0.005970114942528736
2014-01-01,Other_excess,-0.0433,0.0061660919540229885
2014-02-01,NoDur_excess,0.0346,0.006828229665071769
2014-02-01,Durbl_excess,0.0801,0.007968899521531101
2014-02-01,Manuf_excess,0.0542,0.0073585645933014355
2014-02-01,Enrgy_excess,0.0569,0.0077905263157894734
2014-02-01,HiTec_excess,0.0515,0.008040382775119618
2014-02-01,Telcm_excess,0.0256,0.005713588516746412
2014-02-01,Shops_excess,0.0533,0.007259808612440191
2014-02-01,Hlth_excess,0.0635,0.007922488038277511
2014-02-01,Utils_excess,0.0309,0.0059882296650717705
2014-02-01,Other_excess,0.0345,0.006118755980861244
2014-03-01,NoDur_excess,0.0325,0.006854780114722753
2014-03-01,Durbl_excess,-0.0113,0.008037858508604208
2014-03-01,Manuf_excess,0.0031,0.007403346080305928
2014-03-01,Enrgy_excess,0.0243,0.007837476099426387
2014-03-01,HiTec_excess,-0.0061,0.008081931166347991
2014-03-01,Telcm_excess,0.0015,0.005732600382409177
2014-03-01,Shops_excess,-0.0059,0.007303824091778203
2014-03-01,Hlth_excess,-0.0247,0.007975621414913958
2014-03-01,Utils_excess,0.0268,0.006012045889101338
2014-03-01,Other_excess,0.0204,0.0061458891013384314
2014-04-01,NoDur_excess,0.0149,0.006879274116523399
2014-04-01,Durbl_excess,0.0033,0.008019388729703916
2014-04-01,Manuf_excess,0.0083,0.007399235912129895
2014-04-01,Enrgy_excess,0.0567,0.007853199617956065
2014-04-01,HiTec_excess,-0.0105,0.008068385864374403
2014-04-01,Telcm_excess,0.0039,0.005728557784145176
2014-04-01,Shops_excess,-0.0093,0.007291212989493792
2014-04-01,Hlth_excess,-0.0033,0.007944412607449857
2014-04-01,Utils_excess,0.0398,0.006031900668576886
2014-04-01,Other_excess,-0.0194,0.006159503342884432
2014-05-01,NoDur_excess,0.0337,0.00688692748091603
2014-05-01,Durbl_excess,0.0069,0.008014885496183207
2014-05-01,Manuf_excess,0.0127,0.0074000954198473285
2014-05-01,Enrgy_excess,0.0088,0.007899809160305343
2014-05-01,HiTec_excess,0.0342,0.008050667938931296
2014-05-01,Telcm_excess,0.0411,0.005726812977099236
2014-05-01,Shops_excess,0.0099,0.007275381679389313
2014-05-01,Hlth_excess,0.0185,0.00793368320610687
2014-05-01,Utils_excess,0.0001,0.00606412213740458
2014-05-01,Other_excess,0.0178,0.006135114503816794
2014-06-01,NoDur_excess,0.012,0.006912488083889418
2014-06-01,Durbl_excess,0.0445,0.008013822688274549
2014-06-01,Manuf_excess,0.0141,0.007405147759771211
2014-06-01,Enrgy_excess,0.0412,0.007900667302192564
2014-06-01,HiTec_excess,0.0286,0.008075595805529075
2014-06-01,Telcm_excess,0.0154,0.005760533841754051
2014-06-01,Shops_excess,0.0126,0.007277883698760724
2014-06-01,Hlth_excess,0.0287,0.007943755958055292
2014-06-01,Utils_excess,0.0543,0.0060584366062917065
2014-06-01,Other_excess,0.0244,0.006146234509056244
2014-07-01,NoDur_excess,-0.0435,0.006917333333333333
2014-07-01,Durbl_excess,-0.0471,0.00804857142857143
2014-07-01,Manuf_excess,-0.0413,0.00741152380952381
2014-07-01,Enrgy_excess,-0.0356,0.007932380952380953
2014-07-01,HiTec_excess,0.0015,0.008095142857142858
2014-07-01,Telcm_excess,0.008,0.005769714285714286
2014-07-01,Shops_excess,-0.0202,0.007282952380952381
2014-07-01,Hlth_excess,-0.0034,0.00796352380952381
2014-07-01,Utils_excess,-0.064,0.006104380952380952
2014-07-01,Other_excess,-0.0226,0.006163619047619048
2014-08-01,NoDur_excess,0.0556,0.006869362511893434
2014-08-01,Durbl_excess,0.0507,0.007996098953377736
2014-08-01,Manuf_excess,0.0483,0.007365176022835395
2014-08-01,Enrgy_excess,0.0232,0.007890960989533777
2014-08-01,HiTec_excess,0.0424,0.008088867745004757
2014-08-01,Telcm_excess,0.0033,0.005771836346336823
2014-08-01,Shops_excess,0.0501,0.007256803044719315
2014-08-01,Hlth_excess,0.0554,0.007952711703139867
2014-08-01,Utils_excess,0.0531,0.00603767840152236
2014-08-01,Other_excess,0.0411,0.0061362511893434816
2014-09-01,NoDur_excess,-0.0007,0.006915684410646388
2014-09-01,Durbl_excess,-0.0938,0.008036692015209127
2014-09-01,Manuf_excess,-0.025,0.007404087452471483
2014-09-01,Enrgy_excess,-0.0783,0.007905513307984792
2014-09-01,HiTec_excess,-0.014,0.00812148288973384
2014-09-01,Telcm_excess,-0.0145,0.005769486692015209
2014-09-01,Shops_excess,-0.0133,0.007297528517110265
2014-09-01,Hlth_excess,-0.0022,0.007997813688212929
2014-09-01,Utils_excess,-0.0338,0.006082414448669201
2014-09-01,Other_excess,-0.0111,0.006169486692015209
2014-10-01,NoDur_excess,0.0269,0.0069084520417853745
2014-10-01,Durbl_excess,0.0349,0.007939981006647674
2014-10-01,Manuf_excess,0.0241,0.007373314339981007
2014-10-01,Enrgy_excess,-0.0419,0.007823646723646722
2014-10-01,HiTec_excess,0.0158,0.008100474833808166
2014-10-01,Telcm_excess,0.013,0.005750237416904083
2014-10-01,Shops_excess,0.0271,0.007277967711301045
2014-10-01,Hlth_excess,0.0592,0.007988129154795822
2014-10-01,Utils_excess,0.0671,0.0060445394112060786
2014-10-01,Other_excess,0.0341,0.006153086419753087
2014-11-01,NoDur_excess,0.0479,0.0069274193548387085
2014-11-01,Durbl_excess,0.0442,0.007965559772296016
2014-11-01,Manuf_excess,0.0228,0.007389184060721063
2014-11-01,Enrgy_excess,-0.0957,0.007776470588235294
2014-11-01,HiTec_excess,0.0428,0.008107779886148008
2014-11-01,Telcm_excess,0.0246,0.005757115749525616
2014-11-01,Shops_excess,0.0751,0.007296774193548387
2014-11-01,Hlth_excess,0.0252,0.008036717267552182
2014-11-01,Utils_excess,0.0026,0.006102466793168881
2014-11-01,Other_excess,0.0251,0.006179601518026566
2014-12-01,NoDur_excess,-0.0241,0.006966255924170615
2014-12-01,Durbl_excess,0.0035,0.007999905213270144
2014-12-01,Manuf_excess,-0.0008,0.007403791469194313
2014-12-01,Enrgy_excess,0.0054,0.007678388625592417
2014-12-01,HiTec_excess,-0.0126,0.008140663507109005
2014-12-01,Telcm_excess,-0.0205,0.005774976303317535
2014-12-01,Shops_excess,0.016,0.007361042654028436
2014-12-01,Hlth_excess,-0.0083,0.00805298578199052
2014-12-01,Utils_excess,0.0186,0.006099146919431279
2014-12-01,Other_excess,0.0118,0.006197535545023696
2015-01-01,NoDur_excess,-0.0056,0.0069368371212121215
2015-01-01,Durbl_excess,-0.0428,0.00799564393939394
2015-01-01,Manuf_excess,-0.0375,0.007396022727272728
2015-01-01,Enrgy_excess,-0.0431,0.007676231060606062
2015-01-01,HiTec_excess,-0.0346,0.008121022727272728
