date,asset,realized,historical_mean,ols4,ols4_restricted
1968-02-01,Enrgy_excess,-0.0307,0.0089568,-0.00010183,0.0
1968-02-01,HiTec_excess,-0.0497,0.01178114,0.01141291,0.01141291
1968-02-01,Telcm_excess,-0.0281,0.0062856,-0.0014481,0.0
1968-02-01,Shops_excess,-0.0124,0.00853387,0.00493164,0.00493164
1968-02-01,Hlth_excess,-0.0464,0.00964341,0.00936537,0.00936537
1968-02-01,Utils_excess,-0.0188,0.00750771,0.00047622,0.00047622
1968-02-01,Other_excess,-0.0383,0.00757951,-0.00027797,0.0
1968-03-01,NoDur_excess,0.0026,0.00697105,0.00804965,0.00804965
1968-03-01,Durbl_excess,0.0027,0.01179453,0.00274824,0.00274824
1968-03-01,Manuf_excess,0.0046,0.00932085,-0.00467426,0.0
1968-03-01,Enrgy_excess,0.0036,0.00887652,-9.05e-05,0.0
1968-03-01,HiTec_excess,0.0386,0.01165668,0.01013701,0.01013701
1968-03-01,Telcm_excess,-0.015,0.00621599,-0.00309603,0.0
1968-03-01,Shops_excess,0.0248,0.0084915,0.00525123,0.00525123
1968-03-01,Hlth_excess,-0.0027,0.00952996,0.00867118,0.00867118
1968-03-01,Utils_excess,-0.0432,0.00745445,-0.00083692,0.0
1968-03-01,Other_excess,-0.0065,0.00748664,-0.00089363,0.0
1968-04-01,NoDur_excess,0.1054,0.00696222,0.00835334,0.00835334
1968-04-01,Durbl_excess,0.1126,0.01177616,0.00302563,0.00302563
1968-04-01,Manuf_excess,0.1022,0.00931131,-0.00506966,0.0
1968-04-01,Enrgy_excess,0.0522,0.00886586,-0.00031546,0.0
1968-04-01,HiTec_excess,0.1201,0.01171111,0.01097962,0.01097962
1968-04-01,Telcm_excess,0.0178,0.00617313,-0.00421138,0.0
1968-04-01,Shops_excess,0.1179,0.00852444,0.00594352,0.00594352
1968-04-01,Hlth_excess,0.1147,0.00950525,0.00856669,0.00856669
1968-04-01,Utils_excess,0.0199,0.00735212,-0.00270463,0.0
1968-04-01,Other_excess,0.1151,0.00745838,-0.00121137,0.0
1968-05-01,NoDur_excess,0.0455,0.00716069,0.00897437,0.00897437
1968-05-01,Durbl_excess,-0.0079,0.01197944,0.00197415,0.00197415
1968-05-01,Manuf_excess,0.0271,0.00949859,-0.00078006,0.0
1968-05-01,Enrgy_excess,0.0079,0.00895323,-0.00077055,0.0
1968-05-01,HiTec_excess,0.0338,0.01192964,0.01494834,0.01494834
1968-05-01,Telcm_excess,-0.0118,0.00619657,-0.00020939,0.0
1968-05-01,Shops_excess,0.0298,0.00874496,0.00631391,0.00631391
1968-05-01,Hlth_excess,0.029,0.00971734,0.00988157,0.00988157
1968-05-01,Utils_excess,-0.0001,0.00737742,0.00179605,0.00179605
1968-05-01,Other_excess,0.0578,0.0076754,0.00163887,0.00163887
1968-06-01,NoDur_excess,0.0057,0.00723783,0.00917313,0.00917313
1968-06-01,Durbl_excess,-0.0185,0.01193944,-8.4e-06,0.0
1968-06-01,Manuf_excess,-0.0065,0.009534,0.00083988,0.00083988
1968-06-01,Enrgy_excess,0.0141,0.00895111,-0.0009955,0.0
1968-06-01,HiTec_excess,-0.0246,0.01197364,0.01716287,0.01716287
1968-06-01,Telcm_excess,0.0375,0.00616036,0.00074108,0.00074108
1968-06-01,Shops_excess,0.0008,0.00878732,0.00550664,0.00550664
1968-06-01,Hlth_excess,0.018,0.00975614,0.01002125,0.01002125
1968-06-01,Utils_excess,0.0802,0.00736237,0.00418004,0.00418004
1968-06-01,Other_excess,0.026,0.00777626,0.0029129,0.0029129
1968-07-01,NoDur_excess,-0.0417,0.00723474,0.00851337,0.00851337
1968-07-01,Durbl_excess,-0.034,0.01187831,-0.0007419,0.0
