date,model,cum_r2_os,r2_change,abs_change
1971-05-01,elastic_net_restricted,-0.013853644570574187,0.00359108568622828,0.00359108568622828
1970-08-01,random_forest,0.009381988498666005,-0.003538793709334487,0.003538793709334487
1971-03-01,elastic_net_restricted,-0.016911292363344033,-0.003526759644601009,0.003526759644601009
1970-12-01,elastic_net_restricted,-0.010153036320095444,-0.0033717544386674967,0.0033717544386674967
1976-01-01,ols4_restricted,0.014406801642729916,-0.0033593887959773253,0.0033593887959773253
1970-09-01,ols4_restricted,0.014089325532848163,-0.003356310598164448,0.003356310598164448
1971-02-01,ols_restricted,-0.007157186439520191,-0.0032155747174785754,0.0032155747174785754
1972-08-01,ols4_restricted,0.002096238089203861,-0.003215464700860604,0.003215464700860604
1971-07-01,ols_restricted,-0.005096164432907724,0.0031382245231673656,0.0031382245231673656
1971-01-01,ols4_restricted,0.00358396439713895,-0.00312870750173615,0.00312870750173615
1971-02-01,elastic_net_restricted,-0.013384532718743024,-0.0030931987357742264,0.0030931987357742264
1971-04-01,random_forest,-0.014338031195022416,-0.00299887572131583,0.00299887572131583
1970-02-01,ridge_restricted,0.011706473908211857,-0.0029469713928350297,0.0029469713928350297
1972-11-01,ols_restricted,-0.007945454596167644,0.002946843511771092,0.002946843511771092
1970-10-01,ols_restricted,0.007026229535953643,0.0028949048640732333,0.0028949048640732333
1971-07-01,ols4_restricted,0.007348375308993483,0.002887628390743635,0.002887628390743635
1970-10-01,elastic_net_restricted,-0.0014546674071995835,0.0027770356457215593,0.0027770356457215593
1970-03-01,ols_restricted,-0.009485173845878537,0.0027214743486084873,0.0027214743486084873
1971-07-01,elastic_net_restricted,-0.010888543202968459,0.0027044676204800444,0.0027044676204800444
1971-10-01,ols4_restricted,0.009564575850491053,0.002641598559065539,0.002641598559065539
1970-01-01,elastic_net_restricted,-0.012601059228100831,0.0026191323222223943,0.0026191323222223943
1975-02-01,ols_restricted,-0.011821521666543499,0.0025561667170259216,0.0025561667170259216
1970-09-01,elastic_net_restricted,-0.004231703052921143,-0.0025166601739356254,0.0025166601739356254
1975-02-01,ols4_restricted,0.021756316912228003,-0.002470191426979896,0.002470191426979896
1970-08-01,ridge_restricted,0.012293133102753873,-0.002412766532143607,0.002412766532143607
1975-10-01,elastic_net_restricted,-0.011356546737870832,-0.002409992102979864,0.002409992102979864
1975-10-01,ols_restricted,-0.014672094211349384,-0.002332357456687372,0.002332357456687372
1975-10-01,ols4_restricted,0.018306751756495286,-0.0023044363183358473,0.0023044363183358473
1970-10-01,random_forest,0.007937543289878857,0.002297073360351432,0.002297073360351432
1970-10-01,ols4_restricted,0.01636406084023053,0.0022747353073823678,0.0022747353073823678
1970-02-01,ols_restricted,-0.012206648194487024,-0.002103983082992167,0.002103983082992167
1971-05-01,ols4_restricted,0.00474390854431096,0.0020932791171183185,0.0020932791171183185
1972-11-01,random_forest,-0.006117906540631657,-0.0020904119092898686,0.0020904119092898686
1975-05-01,ols_restricted,-0.015526310474725158,-0.0020238871910093215,0.0020238871910093215
1971-12-01,ridge_restricted,0.007226952787539054,-0.0019731422319708486,0.0019731422319708486
1972-09-01,ols_restricted,-0.01013860376752106,-0.0018830802980457154,0.0018830802980457154
1975-06-01,random_forest,0.007411139319327043,0.0018442034268905455,0.0018442034268905455
1970-11-01,ridge_restricted,0.009915210970361476,-0.0018335663397705433,0.0018335663397705433
1975-09-01,ols_restricted,-0.012339736754662012,0.0018003733603879964,0.0018003733603879964
1972-08-01,random_forest,-0.004022665851356933,-0.0017750191005753927,0.0017750191005753927
1975-05-01,elastic_net_restricted,-0.01169408391803487,-0.001767715505961132,0.001767715505961132
1971-10-01,random_forest,-0.0025201944410607412,0.0017477905866921883,0.0017477905866921883
1975-06-01,ols_restricted,-0.017251533068895264,-0.0017252225941701057,0.0017252225941701057
1977-10-01,random_forest,0.005293212580644269,-0.0017123220862371828,0.0017123220862371828
1971-05-01,ridge_restricted,0.007047404524347956,0.001685202050841295,0.001685202050841295
1975-02-01,random_forest,0.0043389166002263165,-0.0016816130379577856,0.0016816130379577856
1971-07-01,ridge_restricted,0.008899417991432757,0.0016509700003035982,0.0016509700003035982
1975-09-01,elastic_net_restricted,-0.008946554634890969,0.0016449392371041711,0.0016449392371041711
1971-09-01,ols_restricted,-0.007913618511236198,-0.0016426409068630134,0.0016426409068630134
1975-07-01,random_forest,0.005774614550423618,-0.0016365247689034247,0.0016365247689034247
1970-12-01,ridge_restricted,0.008293298356523949,-0.0016219126138375273,0.0016219126138375273
1975-07-01,ols_restricted,-0.015655886015010445,0.0015956470538848189,0.0015956470538848189
1971-08-01,ols4_restricted,0.005787530855642287,-0.0015608444533511956,0.0015608444533511956
1970-05-01,ridge_restricted,0.017869654274344237,0.001530517296185474,0.001530517296185474
1975-08-01,ols_restricted,-0.014140110115050009,0.0015157758999604365,0.0015157758999604365
1976-01-01,random_forest,0.008855874015319731,0.0015034613002889328,0.0015034613002889328
