date,asset,realized,historical_mean,ridge,ridge_restricted,ridge_alpha
1968-01-01,HiTec_excess,-0.0913,0.01199065,0.01157276,0.01157276,3000.0
1968-01-01,Telcm_excess,0.0227,0.00625224,0.00624983,0.00624983,1000000.0
1968-01-01,Shops_excess,0.0073,0.00853638,0.00463615,0.00463615,1000.0
1968-01-01,Hlth_excess,-0.0697,0.00980467,0.0097953,0.0097953,1000000.0
1968-01-01,Utils_excess,-0.0022,0.00752744,0.0059452,0.0059452,1000.0
1968-01-01,Other_excess,-0.023,0.00764167,0.00471229,0.00471229,3000.0
1968-02-01,NoDur_excess,-0.031,0.00704807,0.00588858,0.00588858,3000.0
1968-02-01,Durbl_excess,-0.0273,0.01187383,0.00498079,0.00498079,3000.0
1968-02-01,Manuf_excess,-0.0466,0.00943428,0.00537084,0.00537084,3000.0
1968-02-01,Enrgy_excess,-0.0307,0.0089568,0.0040157,0.0040157,1000.0
1968-02-01,HiTec_excess,-0.0497,0.01178114,0.01134037,0.01134037,3000.0
1968-02-01,Telcm_excess,-0.0281,0.0062856,0.0062857,0.0062857,1000000.0
1968-02-01,Shops_excess,-0.0124,0.00853387,0.00593576,0.00593576,1000.0
1968-02-01,Hlth_excess,-0.0464,0.00964341,0.00963261,0.00963261,1000000.0
1968-02-01,Utils_excess,-0.0188,0.00750771,0.00807135,0.00807135,1000.0
1968-02-01,Other_excess,-0.0383,0.00757951,0.00491221,0.00491221,3000.0
1968-03-01,NoDur_excess,0.0026,0.00697105,0.00618961,0.00618961,3000.0
1968-03-01,Durbl_excess,0.0027,0.01179453,0.00657083,0.00657083,3000.0
1968-03-01,Manuf_excess,0.0046,0.00932085,0.0060111,0.0060111,3000.0
1968-03-01,Enrgy_excess,0.0036,0.00887652,0.00437048,0.00437048,1000.0
1968-03-01,HiTec_excess,0.0386,0.01165668,0.01174122,0.01174122,3000.0
1968-03-01,Telcm_excess,-0.015,0.00621599,0.00621314,0.00621314,1000000.0
1968-03-01,Shops_excess,0.0248,0.0084915,0.00769863,0.00769863,1000.0
1968-03-01,Hlth_excess,-0.0027,0.00952996,0.00952241,0.00952241,1000000.0
1968-03-01,Utils_excess,-0.0432,0.00745445,0.00785568,0.00785568,1000.0
1968-03-01,Other_excess,-0.0065,0.00748664,0.00509264,0.00509264,3000.0
1968-04-01,NoDur_excess,0.1054,0.00696222,0.00606593,0.00606593,3000.0
1968-04-01,Durbl_excess,0.1126,0.01177616,0.0068034,0.0068034,3000.0
1968-04-01,Manuf_excess,0.1022,0.00931131,0.00630391,0.00630391,3000.0
1968-04-01,Enrgy_excess,0.0522,0.00886586,0.0047295,0.0047295,1000.0
1968-04-01,HiTec_excess,0.1201,0.01171111,0.01196462,0.01196462,3000.0
1968-04-01,Telcm_excess,0.0178,0.00617313,0.00616789,0.00616789,1000000.0
1968-04-01,Shops_excess,0.1179,0.00852444,0.0071786,0.0071786,1000.0
1968-04-01,Hlth_excess,0.1147,0.00950525,0.00949821,0.00949821,1000000.0
1968-04-01,Utils_excess,0.0199,0.00735212,0.00614816,0.00614816,1000.0
1968-04-01,Other_excess,0.1151,0.00745838,0.0049297,0.0049297,3000.0
1968-05-01,NoDur_excess,0.0455,0.00716069,0.00574029,0.00574029,3000.0
1968-05-01,Durbl_excess,-0.0079,0.01197944,0.00519311,0.00519311,3000.0
1968-05-01,Manuf_excess,0.0271,0.00949859,0.00616684,0.00616684,3000.0
1968-05-01,Enrgy_excess,0.0079,0.00895323,0.0054282,0.0054282,1000.0
1968-05-01,HiTec_excess,0.0338,0.01192964,0.01146725,0.01146725,3000.0
1968-05-01,Telcm_excess,-0.0118,0.00619657,0.00619346,0.00619346,1000000.0
1968-05-01,Shops_excess,0.0298,0.00874496,0.00429291,0.00429291,1000.0
1968-05-01,Hlth_excess,0.029,0.00971734,0.00970621,0.00970621,1000000.0
1968-05-01,Utils_excess,-0.0001,0.00737742,0.00499889,0.00499889,1000.0
1968-05-01,Other_excess,0.0578,0.0076754,0.00504879,0.00504879,3000.0
1968-06-01,NoDur_excess,0.0057,0.00723783,0.00642999,0.00642999,3000.0
1968-06-01,Durbl_excess,-0.0185,0.01193944,0.00535486,0.00535486,3000.0
1968-06-01,Manuf_excess,-0.0065,0.009534,0.00611058,0.00611058,3000.0
1968-06-01,Enrgy_excess,0.0141,0.00895111,0.00424634,0.00424634,1000.0
1968-06-01,HiTec_excess,-0.0246,0.01197364,0.01238857,0.01238857,3000.0
1968-06-01,Telcm_excess,0.0375,0.00616036,0.00615665,0.00615665,1000000.0
1968-06-01,Shops_excess,0.0008,0.00878732,0.00710172,0.00710172,1000.0
1968-06-01,Hlth_excess,0.018,0.00975614,0.00974758,0.00974758,1000000.0
1968-06-01,Utils_excess,0.0802,0.00736237,0.00705944,0.00705944,1000.0
1968-06-01,Other_excess,0.026,0.00777626,0.00533372,0.00533372,3000.0
