date,asset,realized,historical_mean,elastic_net,elastic_net_restricted,elastic_net_alpha,elastic_net_l1_ratio
1967-10-01,Shops_excess,0.0027,0.00850961,0.01219587,0.01219587,0.001,0.5
1967-10-01,Hlth_excess,-0.0542,0.00992781,0.01179589,0.01179589,0.001,0.5
1967-10-01,Utils_excess,-0.0576,0.00757301,0.00836401,0.00836401,0.001,0.5
1967-10-01,Other_excess,-0.0543,0.00770982,0.00678976,0.00678976,0.001,0.5
1967-11-01,NoDur_excess,0.0013,0.00704837,0.01047973,0.01047973,0.001,0.5
1967-11-01,Durbl_excess,-0.0132,0.01207551,0.01452302,0.01452302,0.001,0.5
1967-11-01,Manuf_excess,0.0027,0.0095251,0.00200317,0.00200317,0.001,0.5
1967-11-01,Enrgy_excess,0.0042,0.00897367,0.0023264,0.0023264,0.001,0.5
1967-11-01,HiTec_excess,0.0106,0.01198122,0.01648783,0.01648783,0.001,0.5
1967-11-01,Telcm_excess,-0.0028,0.00628776,-0.00369256,0.0,0.001,0.5
1967-11-01,Shops_excess,0.0048,0.00849776,0.01029197,0.01029197,0.001,0.5
1967-11-01,Hlth_excess,0.0097,0.00979694,0.01490355,0.01490355,0.001,0.5
1967-11-01,Utils_excess,0.0283,0.00744,-0.00536393,0.0,0.001,0.5
1967-11-01,Other_excess,-0.0068,0.00758327,0.00318414,0.00318414,0.001,0.5
1967-12-01,NoDur_excess,0.028,0.00703666,0.00681656,0.00681656,0.001,0.5
1967-12-01,Durbl_excess,0.0055,0.01202403,0.00773194,0.00773194,0.001,0.5
1967-12-01,Manuf_excess,0.0487,0.0095112,-0.00290948,0.0,0.001,0.5
1967-12-01,Enrgy_excess,0.0274,0.00896395,0.00378844,0.00378844,0.001,0.5
1967-12-01,HiTec_excess,0.018,0.01197841,0.01001996,0.01001996,0.001,0.5
1967-12-01,Telcm_excess,-0.0021,0.00626925,-0.00536305,0.0,0.001,0.5
1967-12-01,Shops_excess,0.0312,0.00849022,0.00163976,0.00163976,0.001,0.5
1967-12-01,Hlth_excess,0.0137,0.00979674,0.01144062,0.01144062,0.001,0.5
1967-12-01,Utils_excess,0.0296,0.00748248,-0.01185618,0.0,0.001,0.5
1967-12-01,Other_excess,0.0507,0.00755397,-0.00069228,0.0,0.001,0.5
1968-01-01,NoDur_excess,-0.0083,0.00707927,0.00758903,0.00758903,0.001,0.5
1968-01-01,Durbl_excess,-0.0555,0.01201077,-0.0005663,0.0,0.001,0.5
1968-01-01,Manuf_excess,-0.0676,0.00959085,-0.00467843,0.0,0.001,0.5
1968-01-01,Enrgy_excess,-0.013,0.00900142,0.0025831,0.0025831,0.001,0.5
1968-01-01,HiTec_excess,-0.0913,0.01199065,0.01545973,0.01545973,0.001,0.5
1968-01-01,Telcm_excess,0.0227,0.00625224,0.00709238,0.00709238,0.001,0.5
1968-01-01,Shops_excess,0.0073,0.00853638,0.00456219,0.00456219,0.001,0.5
1968-01-01,Hlth_excess,-0.0697,0.00980467,0.00920622,0.00920622,0.001,0.5
1968-01-01,Utils_excess,-0.0022,0.00752744,0.00344618,0.00344618,0.001,0.5
1968-01-01,Other_excess,-0.023,0.00764167,0.00523068,0.00523068,0.001,0.5
1968-02-01,NoDur_excess,-0.031,0.00704807,0.00966477,0.00966477,0.001,0.5
1968-02-01,Durbl_excess,-0.0273,0.01187383,-0.00531253,0.0,0.001,0.5
1968-02-01,Manuf_excess,-0.0466,0.00943428,-0.00788697,0.0,0.001,0.5
1968-02-01,Enrgy_excess,-0.0307,0.0089568,0.00301432,0.00301432,0.001,0.5
1968-02-01,HiTec_excess,-0.0497,0.01178114,0.01810882,0.01810882,0.001,0.5
1968-02-01,Telcm_excess,-0.0281,0.0062856,0.01489914,0.01489914,0.001,0.5
1968-02-01,Shops_excess,-0.0124,0.00853387,0.01088594,0.01088594,0.001,0.5
1968-02-01,Hlth_excess,-0.0464,0.00964341,0.00841059,0.00841059,0.001,0.5
1968-02-01,Utils_excess,-0.0188,0.00750771,0.01353919,0.01353919,0.001,0.5
1968-02-01,Other_excess,-0.0383,0.00757951,0.00717918,0.00717918,0.001,0.5
1968-03-01,NoDur_excess,0.0026,0.00697105,0.01113379,0.01113379,0.001,0.5
1968-03-01,Durbl_excess,0.0027,0.01179453,0.00481413,0.00481413,0.001,0.5
1968-03-01,Manuf_excess,0.0046,0.00932085,-0.00061123,0.0,0.001,0.5
1968-03-01,Enrgy_excess,0.0036,0.00887652,0.00392157,0.00392157,0.001,0.5
1968-03-01,HiTec_excess,0.0386,0.01165668,0.01758284,0.01758284,0.001,0.5
1968-03-01,Telcm_excess,-0.015,0.00621599,0.00494945,0.00494945,0.001,0.5
1968-03-01,Shops_excess,0.0248,0.0084915,0.01136516,0.01136516,0.001,0.5
1968-03-01,Hlth_excess,-0.0027,0.00952996,0.01217099,0.01217099,0.001,0.5
1968-03-01,Utils_excess,-0.0432,0.00745445,0.00764041,0.00764041,0.001,0.5
1968-03-01,Other_excess,-0.0065,0.00748664,0.00648203,0.00648203,0.001,0.5
1968-04-01,NoDur_excess,0.1054,0.00696222,0.01026007,0.01026007,0.001,0.5
1968-04-01,Durbl_excess,0.1126,0.01177616,0.00925901,0.00925901,0.001,0.5
1968-04-01,Manuf_excess,0.1022,0.00931131,0.00441896,0.00441896,0.001,0.5
1968-04-01,Enrgy_excess,0.0522,0.00886586,0.00592364,0.00592364,0.001,0.5
1968-04-01,HiTec_excess,0.1201,0.01171111,0.01686264,0.01686264,0.001,0.5
1968-04-01,Telcm_excess,0.0178,0.00617313,-0.00152641,0.0,0.001,0.5
1968-04-01,Shops_excess,0.1179,0.00852444,0.00774967,0.00774967,0.001,0.5
1968-04-01,Hlth_excess,0.1147,0.00950525,0.01360395,0.01360395,0.001,0.5
1968-04-01,Utils_excess,0.0199,0.00735212,-0.00033931,0.0,0.001,0.5
1968-04-01,Other_excess,0.1151,0.00745838,0.00670981,0.00670981,0.001,0.5
1968-05-01,NoDur_excess,0.0455,0.00716069,0.00659402,0.00659402,0.001,0.5
1968-05-01,Durbl_excess,-0.0079,0.01197944,-0.00054202,0.0,0.001,0.5
1968-05-01,Manuf_excess,0.0271,0.00949859,0.00120347,0.00120347,0.001,0.5
1968-05-01,Enrgy_excess,0.0079,0.00895323,0.00669732,0.00669732,0.001,0.5
1968-05-01,HiTec_excess,0.0338,0.01192964,0.01653998,0.01653998,0.001,0.5
1968-05-01,Telcm_excess,-0.0118,0.00619657,0.00519228,0.00519228,0.001,0.5
1968-05-01,Shops_excess,0.0298,0.00874496,0.00366282,0.00366282,0.001,0.5
1968-05-01,Hlth_excess,0.029,0.00971734,0.00722545,0.00722545,0.001,0.5
1968-05-01,Utils_excess,-0.0001,0.00737742,0.00110988,0.00110988,0.001,0.5
1968-05-01,Other_excess,0.0578,0.0076754,0.00804852,0.00804852,0.001,0.5
1968-06-01,NoDur_excess,0.0057,0.00723783,0.01141642,0.01141642,0.001,0.5
1968-06-01,Durbl_excess,-0.0185,0.01193944,0.00492148,0.00492148,0.001,0.5
1968-06-01,Manuf_excess,-0.0065,0.009534,0.00922957,0.00922957,0.001,0.5
1968-06-01,Enrgy_excess,0.0141,0.00895111,0.006841,0.006841,0.001,0.5
1968-06-01,HiTec_excess,-0.0246,0.01197364,0.0266792,0.0266792,0.001,0.5
1968-06-01,Telcm_excess,0.0375,0.00616036,0.00676271,0.00676271,0.001,0.5
1968-06-01,Shops_excess,0.0008,0.00878732,0.01241313,0.01241313,0.001,0.5
1968-06-01,Hlth_excess,0.018,0.00975614,0.01239598,0.01239598,0.001,0.5
1968-06-01,Utils_excess,0.0802,0.00736237,0.01002999,0.01002999,0.001,0.5
1968-06-01,Other_excess,0.026,0.00777626,0.01486954,0.01486954,0.001,0.5
1968-07-01,NoDur_excess,-0.0417,0.00723474,0.00858778,0.00858778,0.001,0.5
1968-07-01,Durbl_excess,-0.034,0.01187831,-0.00175047,0.0,0.001,0.5
1968-07-01,Manuf_excess,-0.0445,0.00950181,0.00552953,0.00552953,0.001,0.5
1968-07-01,Enrgy_excess,0.048,0.00896145,0.00724401,0.00724401,0.001,0.5
1968-07-01,HiTec_excess,-0.0599,0.0119002,0.02238445,0.02238445,0.001,0.5
1968-07-01,Telcm_excess,-0.0068,0.00622329,0.00945373,0.00945373,0.001,0.5
1968-07-01,Shops_excess,-0.0564,0.00877129,0.0067279,0.0067279,0.001,0.5
1968-07-01,Hlth_excess,-0.046,0.00977269,0.00781884,0.00781884,0.001,0.5
1968-07-01,Utils_excess,-0.003,0.00750863,0.009758,0.009758,0.001,0.5
1968-07-01,Other_excess,-0.0349,0.00781285,0.01455202,0.01455202,0.001,0.5
1968-08-01,NoDur_excess,0.0232,0.00713667,0.01087976,0.01087976,0.001,0.5
1968-08-01,Durbl_excess,0.0083,0.01178637,-0.00367802,0.0,0.001,0.5
1968-08-01,Manuf_excess,0.0292,0.00939359,0.00012653,0.00012653,0.001,0.5
1968-08-01,Enrgy_excess,0.0088,0.00903968,0.00615651,0.00615651,0.001,0.5
1968-08-01,HiTec_excess,0.0012,0.01175631,0.02349302,0.02349302,0.001,0.5
1968-08-01,Telcm_excess,0.0087,0.00619719,0.01471852,0.01471852,0.001,0.5
1968-08-01,Shops_excess,0.0184,0.00864068,0.01214425,0.01214425,0.001,0.5
1968-08-01,Hlth_excess,0.0026,0.00966092,0.00686327,0.00686327,0.001,0.5
1968-08-01,Utils_excess,-0.0129,0.00748758,0.01933357,0.01933357,0.001,0.5
1968-08-01,Other_excess,0.022,0.00772725,0.01277931,0.01277931,0.001,0.5
1968-09-01,NoDur_excess,0.0444,0.0071688,0.01425723,0.01425723,0.001,0.5
1968-09-01,Durbl_excess,0.0621,0.0117794,0.0068318,0.0068318,0.001,0.5
1968-09-01,Manuf_excess,0.0412,0.0094332,0.00618491,0.00618491,0.001,0.5
1968-09-01,Enrgy_excess,0.0308,0.0090392,0.00435163,0.00435163,0.001,0.5
1968-09-01,HiTec_excess,0.0251,0.0117352,0.02718192,0.02718192,0.001,0.5
1968-09-01,Telcm_excess,0.0254,0.0062022,0.01257454,0.01257454,0.001,0.5
1968-09-01,Shops_excess,0.0741,0.0086602,0.01919485,0.01919485,0.001,0.5
1968-09-01,Hlth_excess,0.0041,0.0096468,0.01319315,0.01319315,0.001,0.5
1968-09-01,Utils_excess,-0.0017,0.0074468,0.02114062,0.02114062,0.001,0.5
1968-09-01,Other_excess,0.0901,0.0077558,0.01517376,0.01517376,0.001,0.5
