date,asset,realized,historical_mean,ols,ols_restricted
1969-01-01,Manuf_excess,-0.0098,0.00948155,0.00984444,0.00984444
1969-01-01,Enrgy_excess,-0.0167,0.00911687,0.00461102,0.00461102
1969-01-01,HiTec_excess,-0.0521,0.01163393,0.02242988,0.02242988
1969-01-01,Telcm_excess,0.0064,0.00621528,-0.00307041,0.0
1969-01-01,Shops_excess,-0.015,0.00874663,0.00830513,0.00830513
1969-01-01,Hlth_excess,-0.0076,0.00969286,0.01885979,0.01885979
1969-01-01,Utils_excess,0.0191,0.00748532,0.00453858,0.00453858
1969-01-01,Other_excess,0.0025,0.00794901,0.01539952,0.01539952
1969-02-01,NoDur_excess,-0.0708,0.00721564,0.01681393,0.01681393
1969-02-01,Durbl_excess,-0.0404,0.01171703,0.00446489,0.00446489
1969-02-01,Manuf_excess,-0.0619,0.00944337,-0.00723602,0.0
1969-02-01,Enrgy_excess,-0.0541,0.00906574,-0.00712295,0.0
1969-02-01,HiTec_excess,-0.0408,0.01150772,0.02046174,0.02046174
1969-02-01,Telcm_excess,-0.038,0.00621564,0.0076097,0.0076097
1969-02-01,Shops_excess,-0.0461,0.0086996,0.01872239,0.01872239
1969-02-01,Hlth_excess,-0.0563,0.00965861,0.0142854,0.0142854
1969-02-01,Utils_excess,-0.0568,0.00750832,0.01838579,0.01838579
1969-02-01,Other_excess,-0.0887,0.00793822,0.01099173,0.01099173
1969-03-01,NoDur_excess,0.0025,0.00706146,-0.00203179,0.0
1969-03-01,Durbl_excess,0.0464,0.01161403,-0.01256069,0.0
1969-03-01,Manuf_excess,0.0219,0.00930237,-0.01206852,0.0
1969-03-01,Enrgy_excess,0.069,0.00894091,-0.00205304,0.0
1969-03-01,HiTec_excess,0.0498,0.01140435,-0.00378029,0.0
1969-03-01,Telcm_excess,-0.0088,0.00612826,-0.01243888,0.0
1969-03-01,Shops_excess,0.0461,0.0085913,-0.01679936,0.0
