date,asset,realized,historical_mean,ridge_restricted,ols4_restricted,random_forest,elastic_net_restricted,ols_restricted
1967-11-01,Durbl_excess,-0.0132,0.01207551,0.00849605,0.0075083,0.00428721,0.01452302,0.01070211
1967-11-01,Enrgy_excess,0.0042,0.00897367,0.00392713,0.0,0.00499024,0.0023264,0.0
1967-11-01,HiTec_excess,0.0106,0.01198122,0.01236661,0.00968015,0.01330593,0.01648783,0.00899771
1967-11-01,Hlth_excess,0.0097,0.00979694,0.00979362,0.01183368,0.00468986,0.01490355,0.01215072
1967-11-01,Manuf_excess,0.0027,0.0095251,0.00659758,0.0,0.00671721,0.00200317,0.0
1967-11-01,NoDur_excess,0.0013,0.00704837,0.00650054,0.00934371,0.00561989,0.01047973,0.00296434
1967-11-01,Other_excess,-0.0068,0.00758327,0.00515949,0.0,0.00713295,0.00318414,0.0
1967-11-01,Shops_excess,0.0048,0.00849776,0.00925709,0.00644314,0.00621,0.01029197,0.00217143
1967-11-01,Telcm_excess,-0.0028,0.00628776,0.0062828,0.0,0.00290332,0.0,0.0
1967-11-01,Utils_excess,0.0283,0.00744,0.00557331,0.0,0.00741036,0.0,0.0
1967-12-01,Durbl_excess,0.0055,0.01202403,0.00752704,0.00732654,0.00261027,0.00773194,0.00060571
1967-12-01,Enrgy_excess,0.0274,0.00896395,0.0052876,0.0,0.00793661,0.00378844,0.0
1967-12-01,HiTec_excess,0.018,0.01197841,0.01198655,0.00964394,0.01466173,0.01001996,0.0
1967-12-01,Hlth_excess,0.0137,0.00979674,0.00979118,0.0123457,0.00626712,0.01144062,0.00538794
1967-12-01,Manuf_excess,0.0487,0.0095112,0.00677023,0.0,0.00718362,0.0,0.0
1967-12-01,NoDur_excess,0.028,0.00703666,0.00603041,0.00963438,0.00579625,0.00681656,0.0
1967-12-01,Other_excess,0.0507,0.00755397,0.00510931,0.0,0.00844167,0.0,0.0
1967-12-01,Shops_excess,0.0312,0.00849022,0.00621632,0.00662812,0.0063892,0.00163976,0.0
1967-12-01,Telcm_excess,-0.0021,0.00626925,0.00626423,0.0,0.00391749,0.0,0.0
1967-12-01,Utils_excess,0.0296,0.00748248,0.00414273,0.0,0.00983219,0.0,0.0
1968-01-01,Durbl_excess,-0.0555,0.01201077,0.00545218,0.00456619,0.00273633,0.0,0.0
1968-01-01,Enrgy_excess,-0.013,0.00900142,0.00386275,0.0,0.00819873,0.0025831,0.0
1968-01-01,HiTec_excess,-0.0913,0.01199065,0.01157276,0.01214479,0.01427992,0.01545973,0.00962238
1968-01-01,Hlth_excess,-0.0697,0.00980467,0.0097953,0.01140401,0.00796854,0.00920622,0.00410957
1968-01-01,Manuf_excess,-0.0676,0.00959085,0.00587404,0.0,0.00744088,0.0,0.0
1968-01-01,NoDur_excess,-0.0083,0.00707927,0.00572415,0.00912681,0.00643821,0.00758903,0.00425344
1968-01-01,Other_excess,-0.023,0.00764167,0.00471229,0.0,0.0074439,0.00523068,0.0
1968-01-01,Shops_excess,0.0073,0.00853638,0.00463615,0.00574874,0.00927511,0.00456219,0.0
1968-01-01,Telcm_excess,0.0227,0.00625224,0.00624983,0.0,0.00568141,0.00709238,0.00224872
1968-01-01,Utils_excess,-0.0022,0.00752744,0.0059452,0.0,0.00944331,0.00344618,0.0
1968-02-01,Durbl_excess,-0.0273,0.01187383,0.00498079,0.00204101,0.00555678,0.0,0.0
1968-02-01,Enrgy_excess,-0.0307,0.0089568,0.0040157,0.0,0.00663875,0.00301432,0.0
1968-02-01,HiTec_excess,-0.0497,0.01178114,0.01134037,0.01141291,0.01488166,0.01810882,0.01210448
1968-02-01,Hlth_excess,-0.0464,0.00964341,0.00963261,0.00936537,0.00989812,0.00841059,0.00102528
1968-02-01,Manuf_excess,-0.0466,0.00943428,0.00537084,0.0,0.00609532,0.0,0.0
1968-02-01,NoDur_excess,-0.031,0.00704807,0.00588858,0.00822476,0.00833648,0.00966477,0.00796474
1968-02-01,Other_excess,-0.0383,0.00757951,0.00491221,0.0,0.00911052,0.00717918,0.0
1968-02-01,Shops_excess,-0.0124,0.00853387,0.00593576,0.00493164,0.0084903,0.01088594,0.00869334
1968-02-01,Telcm_excess,-0.0281,0.0062856,0.0062857,0.0,0.0142838,0.01489914,0.01244975
1968-02-01,Utils_excess,-0.0188,0.00750771,0.00807135,0.00047622,0.01347222,0.01353919,0.01005545
1968-03-01,Durbl_excess,0.0027,0.01179453,0.00657083,0.00274824,0.00575446,0.00481413,0.0
1968-03-01,Enrgy_excess,0.0036,0.00887652,0.00437048,0.0,0.00728504,0.00392157,0.0
1968-03-01,HiTec_excess,0.0386,0.01165668,0.01174122,0.01013701,0.01484945,0.01758284,0.01228776
1968-03-01,Hlth_excess,-0.0027,0.00952996,0.00952241,0.00867118,0.00931978,0.01217099,0.00665223
1968-03-01,Manuf_excess,0.0046,0.00932085,0.0060111,0.0,0.00800217,0.0,0.0
1968-03-01,NoDur_excess,0.0026,0.00697105,0.00618961,0.00804965,0.00704595,0.01113379,0.00663403
1968-03-01,Other_excess,-0.0065,0.00748664,0.00509264,0.0,0.0076641,0.00648203,0.00092836
1968-03-01,Shops_excess,0.0248,0.0084915,0.00769863,0.00525123,0.00744262,0.01136516,0.00717269
1968-03-01,Telcm_excess,-0.015,0.00621599,0.00621314,0.0,0.00840477,0.00494945,0.00059044
1968-03-01,Utils_excess,-0.0432,0.00745445,0.00785568,0.0,0.0101394,0.00764041,0.00230579
1968-04-01,Durbl_excess,0.1126,0.01177616,0.0068034,0.00302563,0.00641948,0.00925901,0.00532786
1968-04-01,Enrgy_excess,0.0522,0.00886586,0.0047295,0.0,0.00658932,0.00592364,0.00290499
1968-04-01,HiTec_excess,0.1201,0.01171111,0.01196462,0.01097962,0.01534798,0.01686264,0.01267987
1968-04-01,Hlth_excess,0.1147,0.00950525,0.00949821,0.00856669,0.01056462,0.01360395,0.0091056
1968-04-01,Manuf_excess,0.1022,0.00931131,0.00630391,0.0,0.00803463,0.00441896,0.0012898
1968-04-01,NoDur_excess,0.1054,0.00696222,0.00606593,0.00835334,0.00764248,0.01026007,0.00468119
