date,model,cum_r2_os
1969-09-01,ridge_restricted,0.0029867792063582254
1969-10-01,elastic_net_restricted,-0.02639349212377582
1969-10-01,ols4_restricted,-0.00013959397698359854
1969-10-01,ols_restricted,-0.030653478429905335
1969-10-01,random_forest,0.0006552702918604991
1969-10-01,ridge_restricted,0.0013508518614222642
1969-11-01,elastic_net_restricted,-0.019482701595144702
1969-11-01,ols4_restricted,0.005434045843633717
1969-11-01,ols_restricted,-0.021569236219462495
1969-11-01,random_forest,0.0052951873331734565
1969-11-01,ridge_restricted,0.006819598031482488
1969-12-01,elastic_net_restricted,-0.015220191550323225
1969-12-01,ols4_restricted,0.010583543012764107
1969-12-01,ols_restricted,-0.016627562603511902
1969-12-01,random_forest,0.009561342256863458
1969-12-01,ridge_restricted,0.010167415504442024
1970-01-01,elastic_net_restricted,-0.012601059228100831
1970-01-01,ols4_restricted,0.018013872764521023
1970-01-01,ols_restricted,-0.010102665111494857
1970-01-01,random_forest,0.00996678378714464
1970-01-01,ridge_restricted,0.014653445301046886
1970-02-01,elastic_net_restricted,-0.012269301819018608
1970-02-01,ols4_restricted,0.009278291445812593
1970-02-01,ols_restricted,-0.012206648194487024
1970-02-01,random_forest,0.009749666643670163
1970-02-01,ridge_restricted,0.011706473908211857
1970-03-01,elastic_net_restricted,-0.011453064217502928
1970-03-01,ols4_restricted,0.008562268720481792
1970-03-01,ols_restricted,-0.009485173845878537
1970-03-01,random_forest,0.009950821193716264
1970-03-01,ridge_restricted,0.011998248559095537
1970-04-01,elastic_net_restricted,-0.0013841563184057494
1970-04-01,ols4_restricted,0.0199408058932684
1970-04-01,ols_restricted,0.006697834120677615
1970-04-01,random_forest,0.014131418245761918
1970-04-01,ridge_restricted,0.016339136978158763
1970-05-01,elastic_net_restricted,0.005504006477659329
1970-05-01,ols4_restricted,0.027488675494176485
1970-05-01,ols_restricted,0.01629949350495279
1970-05-01,random_forest,0.01816067007869989
1970-05-01,ridge_restricted,0.017869654274344237
1970-06-01,elastic_net_restricted,0.011961348761675294
1970-06-01,ols4_restricted,0.03374904872597294
1970-06-01,ols_restricted,0.02351579677970881
1970-06-01,random_forest,0.02325237065889234
1970-06-01,ridge_restricted,0.019319740806786577
1970-07-01,elastic_net_restricted,0.0018900345720174738
1970-07-01,ols4_restricted,0.022592667024880376
1970-07-01,ols_restricted,0.013057666476697028
1970-07-01,random_forest,0.012920782208000492
1970-07-01,ridge_restricted,0.01470589963489748
1970-08-01,elastic_net_restricted,-0.0017150428789855176
1970-08-01,ols4_restricted,0.01744563613101261
1970-08-01,ols_restricted,0.008674296476649945
1970-08-01,random_forest,0.009381988498666005
1970-08-01,ridge_restricted,0.012293133102753873
1970-09-01,elastic_net_restricted,-0.004231703052921143
1970-09-01,ols4_restricted,0.014089325532848163
1970-09-01,ols_restricted,0.004131324671880409
1970-09-01,random_forest,0.005640469929527425
1970-09-01,ridge_restricted,0.010957275198604021
1970-10-01,elastic_net_restricted,-0.0014546674071995835
1970-10-01,ols4_restricted,0.01636406084023053
1970-10-01,ols_restricted,0.007026229535953643
1970-10-01,random_forest,0.007937543289878857
1970-10-01,ridge_restricted,0.01174877731013202
1970-11-01,elastic_net_restricted,-0.006781281881427947
1970-11-01,ols4_restricted,0.011481550420139286
1970-11-01,ols_restricted,0.0011883676181000836
1970-11-01,random_forest,0.00282410636971655
1970-11-01,ridge_restricted,0.009915210970361476
1970-12-01,elastic_net_restricted,-0.010153036320095444
1970-12-01,ols4_restricted,0.0067126718988751
1970-12-01,ols_restricted,-0.0035313429697009678
1970-12-01,random_forest,-0.0040939103242886524
1970-12-01,ridge_restricted,0.008293298356523949
1971-01-01,elastic_net_restricted,-0.010291333982968798
1971-01-01,ols4_restricted,0.00358396439713895
1971-01-01,ols_restricted,-0.003941611722041616
1971-01-01,random_forest,-0.00913819256587215
1971-01-01,ridge_restricted,0.007365839226169624
