date,asset,realized,historical_mean,ridge,ridge_restricted,ridge_alpha
1948-02-01,Hlth_excess,-0.0361,0.00699328,0.00701685,0.00701685,2424.46201708
1948-02-01,Utils_excess,-0.0366,0.00654348,0.01015791,0.01015791,587.80160723
1948-02-01,Other_excess,-0.0419,0.0056834,0.00706143,0.00706143,2424.46201708
1948-03-01,NoDur_excess,0.054,0.00596811,0.01053338,0.01053338,587.80160723
1948-03-01,Durbl_excess,0.0718,0.01126693,0.01299105,0.01299105,2424.46201708
1948-03-01,Manuf_excess,0.0957,0.00869016,0.00869016,0.00869016,1e+16
1948-03-01,Enrgy_excess,0.0986,0.00685787,0.00685787,0.00685787,1e+16
1948-03-01,HiTec_excess,0.1108,0.00912953,0.01354958,0.01354958,1193.77664171
1948-03-01,Telcm_excess,0.0188,0.00617598,0.00634235,0.00634235,2424.46201708
1948-03-01,Shops_excess,0.0661,0.00788386,0.00916387,0.00916387,2424.46201708
1948-03-01,Hlth_excess,0.0626,0.00682362,0.00793243,0.00793243,2424.46201708
1948-03-01,Utils_excess,0.0667,0.00637362,0.01281166,0.01281166,587.80160723
1948-03-01,Other_excess,0.0992,0.00549606,0.00746107,0.00746107,2424.46201708
1948-04-01,NoDur_excess,0.0126,0.00615647,0.01170247,0.01170247,587.80160723
1948-04-01,Durbl_excess,0.0109,0.01150431,0.01344797,0.01344797,2424.46201708
1948-04-01,Manuf_excess,0.0243,0.00903137,0.00903137,0.00903137,1e+16
1948-04-01,Enrgy_excess,0.1116,0.00721765,0.00721765,0.00721765,1e+16
1948-04-01,HiTec_excess,-0.0067,0.00952824,0.01455789,0.01455789,1193.77664171
1948-04-01,Telcm_excess,0.0257,0.00622549,0.00680144,0.00680144,2424.46201708
1948-04-01,Shops_excess,0.05,0.00811216,0.01009418,0.01009418,2424.46201708
1948-04-01,Hlth_excess,0.0206,0.00704235,0.00848158,0.00848158,2424.46201708
1948-04-01,Utils_excess,0.0143,0.0066102,0.01470226,0.01470226,587.80160723
1948-04-01,Other_excess,0.0318,0.00586353,0.00814416,0.00814416,2424.46201708
